genres,title,release_date,discount_price,price
['Strategy'],CivCity: Rome,2006-07-24,0.0,9.99
['RPG'],Arx Fatalis,2002-11-12,0.0,4.99
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,0.0,9.99
['Strategy'],Civilization IV®: Warlords,2006-07-24,0.0,4.99
['Strategy'],Railroad Tycoon 3,2003-10-23,0.0,9.99
['Strategy'],Sid Meier's Railroads!,2006-10-16,0.0,9.99
['Strategy'],Railroad Tycoon II Platinum,1998-10-31,0.0,4.99
"['Casual', 'Indie']",RIP - Trilogy™,2007-06-01,0.0,4.99
['Strategy'],X-COM: Terror From the Deep,1995-04-01,0.0,4.99
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,0.0,8.99
['Action'],Devil May Cry® 3 Special Edition,2006-05-23,0.0,19.99
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,2006-10-17,0.0,19.99
['Action'],Final DOOM,1996-06-17,0.0,4.99
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2007-06-29,0.0,0.0
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,2006-12-20,0.0,19.99
['Action'],Ultimate Doom,1995-04-30,0.0,4.99
['Action'],Master Levels for Doom II,1995-06-01,0.0,14.99
['Action'],DOOM II,1994-05-05,0.0,4.99
['Action'],Wolfenstein 3D,1994-08-03,0.0,4.99
['Action'],Return to Castle Wolfenstein,2001-11-20,0.0,4.99
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,0.0,2.99
['Action'],Spear of Destiny,1993-10-10,0.0,2.99
['Action'],BloodRayne,2003-09-09,0.0,9.99
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,0.0,2.99
['Action'],QUAKE,2007-05-31,0.0,4.99
['Strategy'],Genesis Rising,2007-03-20,0.0,4.99
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,0.0,12.99
"['Action', 'RPG']",BioShock™,2007-08-21,0.0,19.99
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,0.0,12.99
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,0.0,12.99
['Strategy'],Rome: Total War™ - Collection,2004-09-22,0.0,9.99
['Strategy'],Rome: Total War™ - Alexander,2006-06-26,0.0,4.99
['Casual'],Mystery Case Files: Madame Fate®,2007-12-14,0.0,6.99
['Action'],Grand Theft Auto,1998-06-30,0.0,0.0
['Action'],Grand Theft Auto 2,1999-10-25,0.0,0.0
['Action'],Manhunt,2004-04-20,0.0,9.99
['Racing'],Midnight Club 2,2003-07-01,0.0,9.99
['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,0.0,9.99
"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,0.0,6.99
['Action'],Max Payne,2001-07-25,0.0,9.99
['Strategy'],Command &amp; Conquer: Red Alert 3,2008-10-28,0.0,19.99
['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,0.0,9.99
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007-10-23,0.0,9.99
['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,0.0,9.99
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007-09-01,0.0,9.99
['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,0.0,9.99
['Action'],Conflict: Denied Ops,2008-02-08,0.0,5.99
['Action'],ARMA: Combat Operations,2007-05-08,0.0,7.99
['Simulation'],Tycoon City: New York,2006-02-21,0.0,9.99
['Action'],Desperados 2: Cooper's Revenge,2006-05-02,0.0,9.99
"['Action', 'Adventure']",Death to Spies,2007-10-16,0.0,4.99
['Action'],Act of War: High Treason,2006-05-30,0.0,2.99
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,0.0,19.99
['Action'],Act of War: Direct Action,2005-03-14,0.0,2.99
['Action'],Unreal 2: The Awakening,2003-02-03,0.0,14.99
['Action'],Unreal Gold,1998-04-30,0.0,9.99
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008-03-21,0.0,4.99
['Action'],Tom Clancy's Splinter Cell®,2003-02-18,0.0,9.99
['Action'],Far Cry®,2004-03-23,0.0,9.99
['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,0.0,9.99
['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,0.0,9.99
['Simulation'],Silent Hunter® III,2005-03-15,0.0,9.99
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,0.0,9.99
['Casual'],Mystery P.I.™ - The Vegas Heist,2008-06-04,0.0,4.99
['Casual'],Luxor,2008-06-10,0.0,9.99
['Casual'],Reaxxion,2008-06-10,0.0,9.99
['Casual'],Little Farm,2008-06-10,0.0,9.99
['Casual'],7 Wonders II,2008-06-10,0.0,9.99
['Casual'],Luxor Amun Rising,2005-12-08,0.0,9.99
['Casual'],Luxor 3,2007-11-13,0.0,9.99
['Simulation'],Petz® Horsez® 2,2007-11-13,0.0,9.99
['Casual'],Luxor 2,2005-12-08,0.0,9.99
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007-03-27,0.0,9.99
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,0.0,9.99
['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,0.0,9.99
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,0.0,9.99
['Adventure'],Bone: Out From Boneville,2005-09-15,0.0,9.99
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005-07-02,0.0,9.99
['Adventure'],Bone: The Great Cow Race,2006-04-12,0.0,9.99
['Racing'],Sprint Cars Road to Knoxville,2008-07-29,0.0,9.99
,Dr. Daisy Pet Vet,2008-01-08,0.0,9.99
['Simulation'],Ride! Carnival Tycoon,2007-07-02,0.0,9.99
,Hot Dish,2008-01-12,0.0,9.99
['Casual'],Mahjongg Investigations: Under Suspicion,2007-08-08,0.0,9.99
['Adventure'],Dracula Origin,2008-05-20,0.0,9.99
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,0.0,0.0
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,0.0,9.99
"['Adventure', 'Indie']",Eternity's Child,2008-07-31,0.0,4.99
"['Simulation', 'Strategy']",Pacific Storm Allies,2007-05-25,0.0,7.99
"['Action', 'Indie']",Tank Universal,2008-08-21,0.0,4.99
['Racing'],FlatOut: Ultimate Carnage,2008-08-19,0.0,19.99
['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,0.0,2.99
['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,0.0,2.99
['Racing'],GTR Evolution Expansion Pack for RACE 07,2008-09-01,0.0,7.99
['Strategy'],X-COM: Enforcer,2001-04-19,0.0,4.99
['Strategy'],X-COM: Apocalypse,1997-07-15,0.0,4.99
['Strategy'],X-COM: UFO Defense,1993-12-31,0.0,4.99
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,0.0,9.99
['Action'],Crysis Warhead®,2008-09-17,0.0,19.99
['Action'],Crysis,2007-11-13,0.0,19.99
['Strategy'],X-COM: Interceptor,1998-06-15,0.0,4.99
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,0.0,9.99
['Indie'],Multiwinia,2008-09-19,0.0,9.99
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,0.0,2.99
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008-08-28,0.0,2.49
['Strategy'],Sid Meier's Civilization IV: Colonization,2008-09-23,0.0,19.99
['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,0.0,9.99
"['Action', 'Adventure']",LEGO Batman,2008-09-29,0.0,19.99
"['Simulation', 'Strategy']",City Life 2008,2008-07-18,0.0,9.99
"['RPG', 'Strategy']",Hinterland,2008-09-30,0.0,9.99
['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,0.0,9.99
"['Indie', 'Casual']",Gravitron 2,2008-08-31,0.0,4.99
['Racing'],Xpand Rally Xtreme,2006-12-01,0.0,4.99
['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,0.0,9.99
['Action'],Brothers in Arms: Earned in Blood™,2005-10-04,0.0,9.99
['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,0.0,9.99
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,0.0,19.99
['Casual'],Brain Spa,2007-09-25,0.0,9.99
['Action'],The Sum of All Fears,2002-05-31,0.0,9.99
['Casual'],Peggle™ Nights,2008-10-15,0.0,4.99
['Indie'],World of Goo,2008-10-13,0.0,9.99
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,0.0,15.99
['Action'],Mare Nostrum,2008-10-17,0.0,0.0
"['Casual', 'Indie']",Spectraball,2008-10-20,0.0,4.99
"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008-10-21,0.0,19.99
"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,0.0,14.99
['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,0.0,9.99
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,0.0,4.99
['Simulation'],PRR Wagon Pack 01,2009-01-01,0.0,4.99
['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009-01-01,0.0,4.99
['Simulation'],ATSF Wagon Pack 01,2009-01-01,0.0,4.99
['Simulation'],GP20 Union Pacific Add-on Livery,2009-01-01,0.0,4.99
['Simulation'],UK Van Wagon Pack,2009-01-01,0.0,4.99
['Simulation'],CSX SD70MAC Add-on Livery,2009-01-01,0.0,4.99
['Simulation'],CSX ES44AC Add-on Livery,2009-01-01,0.0,4.99
['Action'],Saints Row 2,2009-01-28,0.0,9.99
['Action'],Dead Space,2008-10-20,0.0,19.99
['RPG'],Rise of the Argonauts,2008-12-16,0.0,9.99
"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,0.0,19.99
"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,0.0,9.99
['Action'],F.E.A.R. 2: Project Origin,2009-02-12,0.0,14.99
"['Strategy', 'Indie']",Harvest: Massive Encounter,2008-03-05,0.0,7.99
"['Indie', 'Strategy']",Mayhem Intergalactic,2007-07-04,0.0,9.99
"['Action', 'Indie']",Larva Mortus,2009-03-19,0.0,4.99
['Strategy'],Knights of Honor,2005-05-10,0.0,9.99
"['Action', 'Adventure', 'Strategy']",Ceville,2009-02-27,0.0,5.99
['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,0.0,2.99
['Action'],Watchmen: The End is Nigh,2009-03-04,0.0,4.99
"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,0.0,9.99
['Action'],Unreal Tournament 3 Black,2007-11-19,0.0,19.99
['RPG'],Drakensang,2009-02-27,0.0,9.99
"['Casual', 'Strategy']",Age of Booty™,2009-03-09,0.0,0.0
"['Indie', 'Simulation']",The Graveyard,2008-03-21,0.0,4.99
['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,0.0,19.99
['Action'],Zombie Master,2009-03-11,0.0,0.0
"['Action', 'Indie']",The Maw,2009-03-09,0.0,9.99
"['Action', 'Indie']",The Maw: River Redirect,2009-03-16,0.0,1.25
"['Action', 'Indie']",The Maw: Brute Force,2009-03-16,0.0,1.25
"['Casual', 'Indie']",Obulis,2009-03-19,0.0,4.99
['Indie'],Space Giraffe,2009-03-19,0.0,9.99
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009-03-10,0.0,14.99
['Casual'],Escape Rosecliff Island,2009-04-15,0.0,4.99
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,2006-10-27,0.0,19.99
"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,2005-04-28,0.0,19.99
"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,2006-04-28,0.0,19.99
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008-09-25,0.0,29.99
['Casual'],Puzzle Kingdoms,2009-04-16,0.0,14.99
['Casual'],Samantha Swift and the Golden Touch,2009-04-29,0.0,9.99
['RPG'],Two Worlds Epic Edition,2009-04-30,0.0,9.99
['Strategy'],Helldorado,2009-04-30,0.0,9.99
"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,0.0,9.99
"['Action', 'Indie']",Zeno Clash,2009-04-21,0.0,9.99
['Indie'],The Maw: Speeder Lane,2009-04-29,0.0,1.25
"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,0.0,6.99
"['Casual', 'Simulation']",Virtual Families,2009-05-06,0.0,9.99
['Racing'],Death Track®: Resurrection,2009-05-06,0.0,2.99
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005-03-08,0.0,4.99
"['RPG', 'Strategy']",Freedom Force,2002-03-26,0.0,4.99
"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,0.0,14.99
"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,2009-06-09,0.0,0.0
"['Action', 'Adventure']",Prototype™,2009-06-10,0.0,19.99
['Strategy'],Port Royale 2,2004-04-30,0.0,4.99
,Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,0.0,4.99
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,0.0,14.99
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,0.0,14.99
,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,0.0,19.99
['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,0.0,4.99
['Simulation'],Armored Fist 3,1999-09-01,0.0,9.99
['Simulation'],MiG-29 Fulcrum,1998-09-07,0.0,9.99
['Strategy'],BC Kings,2008-09-15,0.0,4.99
['Action'],Call of Juarez®: Bound in Blood,2009-06-30,0.0,9.99
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007-10-01,0.0,6.99
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006-10-01,0.0,6.99
['Adventure'],Nancy Drew®: The Phantom of Venice,2008-07-01,0.0,6.99
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,0.0,6.99
"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,2008-12-24,0.0,0.0
"['Simulation', 'Sports']",Hunting Unlimited 2010,2009-07-07,0.0,9.99
['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,0.0,19.99
['Action'],Street Fighter® IV,2009-07-07,0.0,19.99
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007-10-09,0.0,9.99
['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992-06-01,0.0,5.99
['Action'],Armed and Dangerous®,2003-12-02,0.0,5.99
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,0.0,9.99
['Adventure'],Indiana Jones® and the Last Crusade™,1989-07-01,0.0,5.99
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,0.0,19.99
['Adventure'],The Secret of Monkey Island: Special Edition,2009-07-15,0.0,9.99
['Strategy'],Warfare,2008-11-20,0.0,12.99
"['Action', 'Racing']",Clutch,2009-06-02,0.0,9.99
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,2009-07-21,0.0,6.99
['Adventure'],Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,0.0,0.0
['Sports'],3D Ultra™ Minigolf Adventures,2006-12-20,0.0,9.99
['Adventure'],King's Quest™ Collection,2006-09-01,0.0,19.99
['Action'],TimeShift™,2007-10-30,0.0,19.99
['Adventure'],Space Quest™ Collection,2006-09-01,0.0,19.99
['Action'],Killing Floor Outbreak Character Pack,2009-07-24,0.0,7.99
"['Action', 'Casual']",Aces of the Galaxy™,2008-06-04,0.0,9.99
"['Simulation', 'Strategy']",Tropico Reloaded,2009-07-24,0.0,6.99
['Casual'],Mystery P.I. - Lost in Los Angeles,2009-07-27,0.0,4.99
['Action'],Bionic Commando: Rearmed,2008-08-14,0.0,9.99
"['Action', 'Adventure']",Bionic Commando,2009-07-28,0.0,9.99
['Action'],Watchmen: The End is Nigh Part 2,2009-07-29,0.0,4.99
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,2009-08-04,0.0,4.99
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,2003-11-19,0.0,9.99
"['Indie', 'Casual']",Osmos,2009-08-18,0.0,9.99
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,0.0,9.99
['Strategy'],Fallout Tactics: Brotherhood of Steel,2001-03-01,0.0,9.99
['Action'],Kingpin — Life of Crime,1999-06-01,0.0,9.99
,Sacrifice,2000-11-01,0.0,9.99
"['Action', 'Adventure']",Mini Ninjas Demo,2009-08-19,0.0,0.0
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,0.0,19.99
['Casual'],Jewel Quest Pack,2009-08-24,0.0,19.99
['Casual'],Mahjong Quest Collection,2009-08-24,0.0,9.99
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,0.0,4.99
['Action'],Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,0.0,9.99
"['Action', 'Racing']",Crash Time 2,2009-08-27,0.0,9.99
['Strategy'],XIII Century – Gold Edition,2009-08-28,0.0,4.99
['Simulation'],World of Zoo,2009-10-30,0.0,14.99
['Simulation'],18 Wheels of Steel: Extreme Trucker,2009-09-23,0.0,9.99
"['Action', 'Adventure']",Mini Ninjas,2009-09-08,0.0,9.99
['Casual'],Freeze Tag Fun Pack #2,2009-09-23,0.0,19.99
['Casual'],Freeze Tag Fun Pack #1,1999-11-30,0.0,19.99
"['Adventure', 'Casual', 'Indie']",Windosill,2009-05-26,0.0,2.99
['Simulation'],Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,0.0,24.99
"['Adventure', 'Casual']",Midnight Mysteries,2009-09-28,0.0,9.99
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,0.0,19.99
['Action'],Joint Operations: Combined Arms Gold,2009-08-18,0.0,19.99
['Simulation'],Train Simulator: US Loco &amp; Asset Pack,2009-10-01,0.0,17.99
['Simulation'],DinerTown Tycoon,2009-09-30,0.0,9.99
['Simulation'],Train Simulator: European Loco &amp; Asset Pack,2009-10-01,0.0,19.99
['RPG'],Risen,2009-10-30,0.0,9.99
['Casual'],Flora's Fruit Farm,2009-10-01,0.0,3.99
['Strategy'],Empire: Total War™ - The Warpath Campaign,2009-10-05,0.0,9.99
"['Adventure', 'Indie']",Machinarium,2009-10-16,0.0,9.99
['Action'],Medal of Honor: Airborne,2007-09-04,0.0,9.99
['Racing'],Need for Speed: Shift,2009-09-15,0.0,19.99
['RPG'],Torchlight,2009-10-27,0.0,14.99
['Strategy'],Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,0.0,19.99
['Strategy'],The Stronghold Collection,2009-10-27,0.0,19.99
['Strategy'],East India Company: Privateer,2009-10-27,0.0,4.99
['Action'],Painkiller: Resurrection,2009-10-27,0.0,9.99
"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,2009-10-29,0.0,14.99
['Adventure'],Secret Files: Tunguska,2009-10-29,0.0,9.99
['Strategy'],Rush for Berlin Gold,2009-10-29,0.0,4.99
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,0.0,19.99
['Strategy'],Men of War: Red Tide,2009-11-01,0.0,4.99
"['Action', 'Indie']",Hammerfight,2009-09-19,0.0,4.99
"['Action', 'RPG']",SpellForce - Platinum Edition,2009-11-03,0.0,9.99
['Strategy'],Massive Assault: Phantom Renaissance,2005-03-03,0.0,9.99
['Strategy'],Massive Assault,2003-10-28,0.0,9.99
,Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,0.0,6.99
"['Action', 'Indie']",Serious Sam HD: The First Encounter,2009-11-24,0.0,14.99
['Adventure'],Secret Files 2: Puritas Cordis,2009-10-29,0.0,9.99
['RPG'],Dragon Age: Origins,2009-11-06,0.0,19.99
"['Action', 'RPG', 'Indie']",Aztaka,2009-05-07,0.0,4.99
"['Indie', 'Casual']",Magnetis,2009-11-05,0.0,1.99
['Strategy'],For The Glory: A Europa Universalis Game,2009-11-11,0.0,9.99
['Action'],Call of Duty®: Modern Warfare® 2,2009-11-12,0.0,19.99
['Adventure'],LEGO® Star Wars™ - The Complete Saga,2009-11-12,0.0,19.99
['RPG'],Overlord™,2007-06-26,0.0,4.99
['RPG'],Overlord™: Raising Hell,2008-02-15,0.0,9.99
['Strategy'],Command &amp; Conquer 3: Tiberium Wars,2007-03-28,0.0,14.99
"['Indie', 'Casual']",Yumsters 2: Around the World,2008-07-23,0.0,4.99
['Strategy'],Command &amp; Conquer 3: Kane's Wrath,2009-11-13,0.0,19.99
"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,2009-11-16,0.0,14.99
['Simulation'],Wings of Prey,2009-12-25,0.0,9.99
"['Action', 'Adventure', 'RPG']",The Bard's Tale,2005-06-17,0.0,9.99
['Action'],Defence Alliance 2,2009-10-22,0.0,0.0
['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,0.0,19.99
,Europa Universalis III: Heir to the Throne,2009-12-15,0.0,9.99
['RPG'],Fallout 3: Game of the Year Edition,2009-10-13,0.0,19.99
"['Strategy', 'Indie', 'Simulation']",Gratuitous Space Battles: The Tribe,2009-12-16,0.0,5.99
['Simulation'],Build-A-Lot,2007-10-02,0.0,9.99
['Simulation'],Build-A-Lot 2: Town of the Year,2008-04-29,0.0,9.99
['Simulation'],Build-A-Lot 3: Passport to Europe,2009-01-24,0.0,9.99
"['Casual', 'Simulation']",Coconut Queen,2009-12-17,0.0,9.99
['Casual'],Roogoo,2009-12-17,0.0,1.99
"['Action', 'Adventure']",Devil May Cry 4,2008-07-08,0.0,19.99
"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,2010-03-17,0.0,9.99
['Simulation'],Build-A-Lot 4: Power Source,2009-08-12,0.0,9.99
"['Action', 'Free to Play', 'Indie']","Pirates, Vikings, and Knights II",2010-02-12,0.0,0.0
['Casual'],Farm Frenzy 2,2008-08-27,0.0,4.99
['Casual'],Farm Frenzy 3: American Pie,2010-01-06,0.0,9.99
['Casual'],Farm Frenzy 3,2009-09-11,0.0,9.99
['Casual'],Farm Frenzy,2007-12-07,0.0,4.99
